,lyric,label
777,다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠,1
778,그리운 만남을 그리던 날들 참 많이도 기다렸어,1
779,다시 너를 만나 더욱 더 소중해 같은 마음이란 걸,-1
785,처음 느낌 그대로 설렘이 가득한 날,1
786,고마워 다시 돌아와줘서,1
787,그때 그 순간처럼 날,1
789,결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼,-1
793,뭘 그리 찡그려 너,-1
794,사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지,-1
795,너의 썩은 내 나는 향수나 뿌릴 바엔,-1
796,사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지,-1
797,너의 하찮은 말에 미소나 지을 바엔,-1
798,너와 함께 하고 싶은 일들을,-1
799,상상하는 게,1
800,요즘 내 일상이 되고,1
801,너의 즐거워하는 모습을 보고 있으면,-1
802,자연스레 따라 웃고 있는 걸,0
803,너의 행동에 설레어하고 뒤척이다가,-1
804,지새운 밤이 많아지는데,-1
805,이건 누가 봐도 사랑일 텐데,1
806,종일 함께면 질릴 텐데,0
807,나 돌아서도 온통 너인 건,-1
808,아무래도 사랑인가 봐,-1
809,점점 너와 하고 싶은 일들 생각하면서,-1
810,하룰 보낸 날이 많아지는데,1
815,너의 행복해하는 모습을 보고 있으면,-1
816,나도 모르게 따라 웃는데,1
817,이 정도면 알아줄 만하잖아,1
818,너도 용기 낼만 하잖아,-1
819,나만 이런 게 아니라면,1
820,우리 만나볼 만하잖아,1
822,사랑이었다 별거 없던 내 하루에,1
823,빛이 돼준 단한 사람,1
824,나보다 나를 더 아껴 주던 너를,-1
825,그땐 왜 몰랐을까,0
826,행복이었다 다시는 없을 것 같던,1
827,잠시나마 행복했었다,1
828,다른 사람 곁에 있는 널,1
829,생각해 본 적 없지만,1
830,이젠 너를 보내줘야 할 것 같아,-1
831,내가 아니라도,1
832,눈부시게 사랑받았을 너라서,-1
833,그 소중한 시간을 나와 함께해 줘서,1
835,예쁘고 아름다웠던 너의 그날에,-1
836,함께했던 그 모든 순간이 행복했어,1
837,내 전부였다 무엇도 바꿀 수 없던,1
838,우리라서 행복했었다,1
839,다른 누구라도,0
840,나보다 더 좋은 사람 만나서,1
841,이젠 나를 잊고 행복하게 살아,1
848,어두웠던 내 하루에,1
849,빛이 되어주던 그날들을,1
850,어떻게 잊고 살아,0
851,과분했던 너라는 사람을 만나,-1
852,누구보다 사랑했었다,1
853,내가 아니었다면,1
854,눈부시게 사랑받았을 너란 걸,-1
855,이 세상에 누구보다 더 잘 알아서,1
856,미안했어 너와 함께한 날들이,-1
857,더 말할 게 있을까,0
858,행복한 기억만 가져갈게,1
859,내 걸로 만들어,1
860,구하지 우리 방식대로,1
861,목소리 팔아서,0
862,팔자 고친 아버지 딸내미,1
863,공양미 300석 대신 받았어 큰 입지,1
864,우황청심원 달고 살았던 카니발,-1
865,20살의 풋내기,1
866,청춘을 세공한 값은 돌아오니까,1
867,쓰러트려 마이크 타이슨,0
868,넘어져도 칠전팔기,0
869,오래 버티던 악바리만,-1
870,살아남았지 마지막엔,-1
871,오랜 시간 쏘아 올렸지,0
872,이제 터질 시간,0
873,여의도처럼 퍼퍼펑,0
874,힘든 시간들은,-1
875,그전에 전에 잠깐,0
876,성수동 그녀는 몰라 쉬는 법,1
877,남녀노소 밤새 흔들어,-1
878,날이면 날마다 오는 기회가 아니니,1
879,어서 날 택해,1
880,드디어 세탁을 맡겼지,0
881,어젯밤 눈물에 젖은 베개,-1
882,수많은 겨울을 지냈고,-1
883,이제는 토이고 올라갈 차례,-1
884,이경영처럼 시켜 진행,0
885,그녀는 엉덩이를 흔들다 보니까,1
886,밤이 깊어지네,-1
888,까만 옷을 걸치고 걸어가지,1
889,저 나쁜 놈들 갱생,1
890,쳐다도 못 보네 얼굴,1
891,떨어버리네 벌벌,1
892,우린 항상 위를 봐,0
893,우산이 필요해 종이가 자꾸 내려와,1
894,돈이 아니어도 우린 계속하지,0
895,예술가니 어쩔 수가 없는 거지,-1
896,그 뒤에 진짜 얘기들이 궁금해,1
897,그랬더니 돈이 내 뒤를 따라왔어,1
898,돌고 돌아라 지구는 둥그네,1
899,눈멀어도 좋아,1
900,보지 말라는 곳을 뚫어져라 보고,0
901,언젠가 가 있을 테니,0
902,비노 영지 토이고 켠이형 세인이 캄보,-1
904,신세인 낮밤을 반납한 값,-1
905,다 따고 갈 맘 채비 갖고,1
906,내 발로 간다고,1
907,누구 술자리 낄 시간에,-1
908,빠져서 만들은,0
909,앨범이 내 피사체,1
910,아니 피가 된 지금은 혈관들이,0
911,이제는 누군가의 선수,0
912,걱정하던 점쟁이,1
913,엄마는 기억도 못 하더라고,0
914,그런데 난 필요해서,1
915,냅두는 편이 낫겠어,0
916,한국 힙합 지금이 재미 볼 때야,-1
917,네가 잠에 들 때야,1
918,우린 깨어나 저 구름 위,1
919,다크서클 같은 날개를 펼치는 중이지,-1
920,밥은 먹고 다니냐 새꺄,1
921,내가 뭔 짓 하러 왔는지,1
922,아직도 얘넨 잘 모르겠지,0
923,나쁜 새끼들 잡으러 가,1
926,이윽고 내가 한눈에,1
927,너를 알아봤을 때,-1
928,모든 건 분명 달라지고 있었어,1
929,내 세상은 널 알기 전과 후로 나뉘어,1
930,니가 숨 쉬면 따스한 바람이 불어와,1
931,니가 웃으면 눈부신 햇살이 비춰,1
932,거기 있어줘서 그게 너라서,-1
933,가끔 내 어깨에 가만히 기대주어서,-1
934,나는 있잖아 정말 빈틈없이 행복해,-1
935,너를 따라서 시간은 흐르고 멈춰,-1
936,물끄러미 너를 들여다 보곤 해,-1
937,그것 말고는 아무것도 할 수 없어서,-1
938,너의 모든 순간 그게,-1
939,나였으면 좋겠다,1
940,생각만 해도 가슴이 차올라,1
941,나는 온통 너로,-1
942,보고 있으면 왠지 꿈처럼 아득한 것,1
943,몇 광년 동안 날 향해 날아온 별빛,1
944,또 지금의 너,-1
946,가끔 나에게 조용하게 안겨주어서,-1
947,나는 있잖아 정말 남김없이 고마워,1
949,물끄러미 너를 들여다보곤 해,-1
950,너를 보는 게 나에게는 사랑이니까,-1
955,니 모든 순간 나였으면,1
956,밤은 다시 길고 깊어졌네,-1
957,나는 점점 너로 잠 못 들게 돼,-1
